3755 GB2312-80 level-1 Chinese characters
Character	GB code	Unicode
·þ	0xfeb7	0x670d
¸¡	0xa1b8	0x6d6e
¸¢	0xa2b8	0x6daa
¸£	0xa3b8	0x798f
¸¤	0xa4b8	0x88b1
¸¥	0xa5b8	0x5f17
¸¦	0xa6b8	0x752b
¸§	0xa7b8	0x629a
¸¨	0xa8b8	0x8f85
¸©	0xa9b8	0x4fef
¸ª	0xaab8	0x91dc
¸«	0xabb8	0x65a7
¸¬	0xacb8	0x812f
¸­	0xadb8	0x8151
¸®	0xaeb8	0x5e9c
¸¯	0xafb8	0x8150
¸°	0xb0b8	0x8d74
¸±	0xb1b8	0x526f
¸²	0xb2b8	0x8986
¸³	0xb3b8	0x8d4b
¸´	0xb4b8	0x590d
¸µ	0xb5b8	0x5085
¸¶	0xb6b8	0x4ed8
¸·	0xb7b8	0x961c
¸¸	0xb8b8	0x7236
¸¹	0xb9b8	0x8179
¸º	0xbab8	0x8d1f
¸»	0xbbb8	0x5bcc
¸¼	0xbcb8	0x8ba3
¸½	0xbdb8	0x9644
¸¾	0xbeb8	0x5987
¸¿	0xbfb8	0x7f1a
¸À	0xc0b8	0x5490
¸Á	0xc1b8	0x5676
¸Â	0xc2b8	0x560e
¸Ã	0xc3b8	0x8be5
¸Ä	0xc4b8	0x6539
¸Å	0xc5b8	0x6982
¸Æ	0xc6b8	0x9499
¸Ç	0xc7b8	0x76d6
¸È	0xc8b8	0x6e89
¸É	0xc9b8	0x5e72
¸Ê	0xcab8	0x7518
¸Ë	0xcbb8	0x6746
¸Ì	0xccb8	0x67d1
¸Í	0xcdb8	0x7aff
¸Î	0xceb8	0x809d
¸Ï	0xcfb8	0x8d76
¸Ð	0xd0b8	0x611f
¸Ñ	0xd1b8	0x79c6
¸Ò	0xd2b8	0x6562
¸Ó	0xd3b8	0x8d63
¸Ô	0xd4b8	0x5188
¸Õ	0xd5b8	0x521a
¸Ö	0xd6b8	0x94a2
¸×	0xd7b8	0x7f38
¸Ø	0xd8b8	0x809b
¸Ù	0xd9b8	0x7eb2
¸Ú	0xdab8	0x5c97
¸Û	0xdbb8	0x6e2f
¸Ü	0xdcb8	0x6760
¸Ý	0xddb8	0x7bd9
¸Þ	0xdeb8	0x768b
¸ß	0xdfb8	0x9ad8
¸à	0xe0b8	0x818f
¸á	0xe1b8	0x7f94
¸â	0xe2b8	0x7cd5
¸ã	0xe3b8	0x641e
¸ä	0xe4b8	0x9550
¸å	0xe5b8	0x7a3f
¸æ	0xe6b8	0x544a
¸ç	0xe7b8	0x54e5
